Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.14335328662538E-06,0.00381617057001103,0.00342348567006379,0,0,0,5.2298658429766,0.025489005982237,-4.66611982918596E-08,-5.21058705317477E-07,0.0300096457219979,0.00138741262174413,0.0217210539398496,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1L,0.0325592788604847,-0.0253254457611094,0.00778255875143551,0,0,0,0.0920897104333794,0.000144011368036084,0.00014278590067962,-6.6487194328281E-06,0.000216519364635622,5.17154523287915E-06,0.00035581745234253,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link1L.STL,0.647058823529412,0.854901960784314,0.533333333333333,1,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link1L.STL,,link1L-1,j1l <body-1>,Axis_j1L,j1L,revolute,0.095,0,0,1.5708,0,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
link2L,0.0074274,0.027049,0.0085063,0,0,0,0.042064,5.7952E-05,-1.396E-05,-4.6668E-07,1.0944E-05,-1.6995E-06,6.7126E-05,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link2L.STL,0.8549,0.80392,0.52941,1,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link2L.STL,,link2L-1,l1c1L <link1L-1>,Axis_j2L,j2L,revolute,0,0,0.01,0,0,-0.66107,link1L,0,0,1,0,0,0,0,,,,,,,,
link3L,0.015403,-0.056096,-0.0088782,0,0,0,0.056007,0.00021083,5.5694E-05,9.6782E-07,2.3297E-05,-3.5246E-06,0.00023208,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link3L.STL,0.86275,0.54902,0.5451,1,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link3L.STL,,link3L-1,l2c2L <link2L-1>,,j3L,revolute,0.021183,0.077145,0.01,0,0,1.3028,link2L,0,0,0,0,0,0,0,,,,,,,,
link4L,-0.029273,-0.10661,0.0087836,0,0,0,0.1033,0.00074508,-0.0002,2.3476E-06,7.1655E-05,8.5494E-06,0.00081281,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link4L.STL,0.5451,0.61569,0.85882,1,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link4L.STL,,link4L-1,l3c2L <link3L-1>,,j4L,revolute,0.039718,-0.14465,-0.01,0,0,-1.3028,link3L,0,0,0,0,0,0,0,,,,,,,,
wheelL,-3.63598040564739E-14,2.77555756156289E-14,0.0111042006258998,0,0,0,0.126219698224412,0.000106473363883812,0,6.43067313318946E-23,0.000106473363883812,-4.80532148237026E-23,0.000208789081658998,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/wheelL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/wheelL.STL,,wheelL-1,l4c3L <link4L-1>,Axis_j5L,j5L,revolute,-0.060901,-0.22179,0.01,0,0,-1.8388,link4L,0,0,1,0,0,0,0,,,,,,,,
link4_1L,-0.0080898,-0.029461,0.0087836,0,0,0,0.1033,0.00074508,-0.0002,2.3476E-06,7.1655E-05,8.5494E-06,0.00081281,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link4_1L.STL,0.5451,0.61569,0.85882,1,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link4_1L.STL,,link4L-1,l1c2L <link1L-1>,Axis_j4_1L,j4_1L,revolute,0.1184,-0.092095,0.01,0,0,-0.66107,link1L,0,0,1,0,0,0,0,,,,,,,,
link1R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link1R.STL,1,1,1,1,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link1R.STL,,link1R-1,j1r <body-1>,Axis_j1R,j1R,revolute,-0.095,0,0,1.5708,0,-1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
link2R,0.0078885,-0.026918,0.0085063,0,0,0,0.042064,5.7461E-05,1.4755E-05,-4.9565E-07,1.1435E-05,1.6913E-06,6.7126E-05,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link2R.STL,0.8549,0.80392,0.52941,1,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link2R.STL,,link2R-1,l1c1R <link1R-1>,Axis_j2R,j2R,revolute,0,0,0.01,0,0,-2.4679,link1R,0,0,1,0,0,0,0,,,,,,,,
link3R,0.01636,0.055825,-0.0088782,0,0,0,0.056007,0.00020887,-5.8866E-05,1.0279E-06,2.5255E-05,3.5076E-06,0.00023208,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link3R.STL,0.86275,0.54902,0.5451,1,0,0,0,0,0,0,package://two_wheel_bot.SLDASM/meshes/link3R.STL,,link3R-1,l2c2R <link2R-1>,,j3R,revolute,0.022498,-0.076771,0.01,0,0,-1.2857,link2R,0,0,0,0,0,0,0,,,,,,,,
