Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.14335328662797E-06,0.00342348567006379,0.00381617057001103,0,0,0,5.2298658429766,0.025489005982237,5.21058705317494E-07,4.66611982919143E-08,0.0217210539398496,0.00138741262174413,0.0300096457219979,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/base_link.STL,,body-1,base <body-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1L,0.0108777063074832,-0.0397889475658975,0.00778255875143549,0,0,0,0.0920897104333794,0.000307092569540675,7.49468235007504E-05,-2.22126594452678E-06,5.34381631310313E-05,8.12504324886133E-06,0.00035581745234253,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link1L.STL,0.647058823529412,0.854901960784314,0.533333333333333,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link1L.STL,,link1L-1,j1l <body-1>,Axis1,joint1L,revolute,-0.095,0,0,1.5708,0,-1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
link2L,-0.00515284036557172,0.027572931554392,0.0085062852456701,0,0,0,0.0420641577581413,5.99401018480782E-05,9.87270978817433E-06,3.23762508752024E-07,8.95608912295947E-06,-1.73245838418425E-06,6.71261903455831E-05,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link2L.STL,0.854901960784314,0.803921568627451,0.529411764705882,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link2L.STL,,link2L-1,l1c1L <link1L-1>,Axis1,joint2L,revolute,0,0,0.01,0,0,-1.3039,link1L,0,0,1,0,0,0,0,,,,,,,,
link3L,-0.0106862513365372,-0.0571823025304896,-0.00887815058461651,0,0,0,0.0560073858489449,0.000218764528266537,-3.93869721743533E-05,-6.71436973865583E-07,1.53648605332619E-05,-3.59287003090283E-06,0.000232080271062819,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link3L.STL,0.862745098039216,0.549019607843137,0.545098039215686,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link3L.STL,,link3L-1,l2c2L <link2L-1>,Axis2,joint3L,revolute,-0.014696,0.078639,0.01,0,0,1.7555,link2L,0,0,-1,0,0,0,0,,,,,,,,
link4L,0.0203083925778099,-0.108670534850872,0.00878355121424736,0,0,0,0.103303737580571,0.000773569071719839,0.000141436809479321,-1.62865032492976E-06,4.31701995748469E-05,8.71493404596558E-06,0.00081280999513764,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link4L.STL,0.545098039215686,0.615686274509804,0.858823529411765,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link4L.STL,,link4L-1,l3c2L <link3L-1>,Axis3,joint4L,revolute,-0.027555,-0.14745,-0.01,0,0,-1.7555,link3L,0,0,1,0,0,0,0,,,,,,,,
wheelL,-6.10622663543836E-16,7.49400541621981E-16,0.0111042006258997,0,0,0,0.126219698224412,0.000106473363883809,6.7762635780344E-21,-2.48860382094019E-20,0.000106473363883809,-5.86012409769799E-21,0.000208789081658998,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/wheelL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/wheelL.STL,,wheelL-1,l4c3L <link4L-1>,Axis5,wheeljointL,continuous,0.042251,-0.22609,0.01,0,0,-1.386,link4L,0,0,1,,,,,,,,,,,,
link4_1L,0.00561238240027584,-0.030031948362666,0.00878355121424738,0,0,0,0.103303737580571,0.000773569071719824,0.000141436809479358,-1.62865032493019E-06,4.3170199574861E-05,8.7149340459655E-06,0.00081280999513764,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link4_1L.STL,0.545098039215686,0.615686274509804,0.858823529411765,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link4_1L.STL,,link4L-1,l1c2L <link1L-1>,Axis4,joint4_1L,revolute,0.039556,-0.14469,0.01,0,0,-1.3039,link1L,0,0,1,0,0,0,0,,,,,,,,
link1R,-0.0108777063074823,-0.0397889475658978,0.00778255875143549,0,0,0,0.0920897104333794,0.000307092569540679,-7.49468235007446E-05,2.22126594452659E-06,5.34381631310279E-05,8.12504324886132E-06,0.00035581745234253,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link1R.STL,0.647058823529412,0.854901960784314,0.533333333333333,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link1R.STL,,link1R-1,j1r <body-1>,Axis10,joint1R,revolute,0.095,0,0,1.5708,0,1.5708,base_link,0,0,1,0,0,0,0,,,,,,,,
link2R,-0.00515284036557377,-0.0275729315543916,0.00850628524567011,0,0,0,0.0420641577581413,5.99401018480767E-05,-9.87270978817812E-06,3.23762508752149E-07,8.95608912296094E-06,1.73245838418421E-06,6.71261903455832E-05,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link2R.STL,0.854901960784314,0.803921568627451,0.529411764705882,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link2R.STL,,link2R-1,l1c1R <link1R-1>,Axis10,joint2R,revolute,0,0,0.01,0,0,-1.8377,link1R,0,0,1,0,0,0,0,,,,,,,,
link3R,-0.0106862513365432,0.0571823025304968,-0.00887815058461655,0,0,0,0.0560073858489449,0.000218764528266529,3.93869721743741E-05,-6.71436973865969E-07,1.53648605332699E-05,3.59287003090279E-06,0.000232080271062819,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link3R.STL,0.862745098039216,0.549019607843137,0.545098039215686,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link3R.STL,,link3R-1,l2c2R <link2R-1>,Axis9,joint3R,revolute,-0.014696,-0.078639,0.01,0,0,-1.7555,link2R,0,0,-1,0,0,0,0,,,,,,,,
link4R,0.0203083925778119,0.108670534850862,0.0087835512142474,0,0,0,0.103303737580571,0.00077356907171982,-0.000141436809479367,-1.62865032493035E-06,4.31701995748644E-05,-8.71493404596562E-06,0.00081280999513764,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link4R.STL,0.545098039215686,0.615686274509804,0.858823529411765,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link4R.STL,,link4R-1,l3c2R <link3R-1>,Axis8,joint4R,revolute,-0.027555,0.14745,-0.01,0,0,1.7555,link3R,0,0,1,0,0,0,0,,,,,,,,
wheelR,7.49400541621981E-16,8.88178419700125E-16,0.0111042006258996,0,0,0,0.126219698224412,0.000106473363883807,0,2.50484313697451E-20,0.000106473363883807,2.64825220519381E-21,0.000208789081658998,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/wheelR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/wheelR.STL,,wheelR-1,l4c3R <link4R-1>,Axis6,wheeljointR,continuous,0.042251,0.22609,0.01,0,0,1.386,link4R,0,0,1,,,,,,,,,,,,
link4_1R,0.00561238240027687,0.0300319483626608,0.00878355121424738,0,0,0,0.103303737580571,0.000773569071719814,-0.000141436809479382,-1.62865032493053E-06,4.31701995748703E-05,-8.71493404596558E-06,0.000812809995137639,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link4_1R.STL,0.545098039215686,0.615686274509804,0.858823529411765,1,0,0,0,0,0,0,package://two_wheel_bot_urdf2/meshes/link4_1R.STL,,link4R-1,l1c2R <link1R-1>,Axis7,joint4_1R,revolute,-0.039556,-0.14469,0.01,0,0,-1.8377,link1R,0,0,1,0,0,0,0,,,,,,,,
